grid_id,week_start,outbreak_binary,grid_lat,grid_lon,outbreak_count,pred_proba,split_name,model_name,display_label,n_grids_in_week,risk_rank,risk_percentile,top1,top5,top10,top20
G001092,2025-12-29,1,32.68802686104223,131.60134885975336,1,0.38016399749052004,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1743.0,0.6827535967947551,False,False,False,False
G003354,2025-12-29,1,36.024314913767554,139.3268603031813,1,0.5689909270329959,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,84.0,0.9848843562192678,False,True,True,True
G005504,2025-12-29,1,42.94739058467374,141.84214309871592,1,0.0033062046255299955,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,3724.0,0.32198142414860687,False,False,False,False
G002049,2026-01-05,1,34.187210306310234,134.38612624052388,1,0.6502523610495617,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,564.0,0.8974685849572027,False,False,False,True
G002129,2026-01-05,1,34.92701787656751,134.65562082575977,1,0.606623798529957,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,908.0,0.8348206155527227,False,False,False,True
G002590,2026-01-12,1,34.63188463474168,136.36241986558684,1,0.5992836940930116,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,816.0,0.8515753050446184,False,False,False,True
G002779,2026-01-19,1,35.587194130262716,136.9912405644705,1,0.5828874626034539,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,937.0,0.8295392460389729,False,False,False,True
G004918,2026-02-16,1,39.22510615028063,141.03365934300834,1,0.013455697243721572,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1770.0,0.6778364596612638,False,False,False,False
G005502,2026-03-02,1,42.81574042469704,141.84214309871592,1,0.00493977308063434,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,2194.0,0.6006191950464397,False,False,False,False
G004647,2026-03-23,1,37.96135198789263,140.7641647577725,1,0.082274356858299,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,255.0,0.9537424877071572,False,True,True,True
G005326,2026-03-23,1,42.81574042469704,141.57264851348003,1,0.04744593258339695,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,485.0,0.9118557639774176,False,False,True,True
G005084,2025-10-20,1,42.5515976058003,141.21332239983226,1,0.08913150774370567,test_fy2025,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,464.0,0.9156802039701329,False,False,True,True
G005272,2025-10-27,1,42.88160061917065,141.48281698506813,1,0.03308863640419769,test_fy2025,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,4079.0,0.2573301766527044,False,False,False,False
G003462,2025-11-03,1,38.032143327565045,139.5065233600052,2,0.33787396821496546,test_fy2025,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,1960.0,0.6432343835366965,False,False,False,False
G001057,2025-11-17,1,32.3850981945871,131.51151733134145,1,0.6103063380581498,test_fy2025,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,134.0,0.9757785467128027,False,True,True,True
G001745,2025-12-01,1,35.4409533592948,133.39797942799242,1,0.6971816902382322,test_fy2025,geo_season_previous_week_weather_same_grid_lags,Baseline + same-grid outbreak lags,5491,1283.0,0.7665270442542342,False,False,False,False
